system:index,Lat,Long,Z,.geo
00000000000000001011,-25.637,-48.274,-17.4633,"{""type"":""Point"",""coordinates"":[-48.27379101270184,-25.636972773538545]}"
00000000000000001013,-25.637,-48.271,-16.114427,"{""type"":""Point"",""coordinates"":[-48.271262702404535,-25.636972773538545]}"
00000000000000001015,-25.637,-48.279,-15.408476,"{""type"":""Point"",""coordinates"":[-48.278843174195394,-25.636972773538545]}"
00000000000000001017,-25.637,-48.276,-16.200105,"{""type"":""Point"",""coordinates"":[-48.276314863898094,-25.636972773538545]}"
00000000000000001019,-25.637,-48.264,-16.362888,"{""type"":""Point"",""coordinates"":[-48.26368223061368,-25.636972773538545]}"
0000000000000000101b,-25.637,-48.261,-16.050682,"{""type"":""Point"",""coordinates"":[-48.261153920316374,-25.636972773538545]}"
0000000000000000101d,-25.637,-48.269,-15.554669,"{""type"":""Point"",""coordinates"":[-48.268734392107234,-25.636972773538545]}"
0000000000000000101f,-25.637,-48.266,-16.720677,"{""type"":""Point"",""coordinates"":[-48.26621054091098,-25.636972773538545]}"
00000000000000001021,-25.637,-48.254,-16.534418,"{""type"":""Point"",""coordinates"":[-48.253573448525515,-25.636972773538545]}"
00000000000000001023,-25.637,-48.251,-15.719444,"{""type"":""Point"",""coordinates"":[-48.251049597329256,-25.636972773538545]}"
00000000000000001025,-25.637,-48.259,-15.858008,"{""type"":""Point"",""coordinates"":[-48.25863006912012,-25.636972773538545]}"
00000000000000001027,-25.637,-48.256,-16.130089,"{""type"":""Point"",""coordinates"":[-48.25610175882282,-25.636972773538545]}"
00000000000000001029,-25.637,-48.243,-16.383433,"{""type"":""Point"",""coordinates"":[-48.24346912553842,-25.636972773538545]}"
0000000000000000102a,-25.637,-48.241,-15.365276,"{""type"":""Point"",""coordinates"":[-48.2409408152411,-25.636972773538545]}"
0000000000000000102b,-25.637,-48.249,-15.680804,"{""type"":""Point"",""coordinates"":[-48.248521287031956,-25.636972773538545]}"
0000000000000000102c,-25.637,-48.246,-16.987549,"{""type"":""Point"",""coordinates"":[-48.245997435835704,-25.63697277353855]}"
0000000000000000102d,-25.637,-48.314,-13.776085,"{""type"":""Point"",""coordinates"":[-48.314217222852385,-25.63697277353855]}"
0000000000000000102e,-25.637,-48.312,-13.948614,"{""type"":""Point"",""coordinates"":[-48.31168891255508,-25.636972773538545]}"
0000000000000000102f,-25.637,-48.319,-14.181858,"{""type"":""Point"",""coordinates"":[-48.31926938434593,-25.63697277353855]}"
00000000000000001030,-25.637,-48.317,-13.805115,"{""type"":""Point"",""coordinates"":[-48.316741074048636,-25.636972773538545]}"
00000000000000001031,-25.637,-48.304,-16.29838,"{""type"":""Point"",""coordinates"":[-48.30410844076422,-25.636972773538545]}"
00000000000000001032,-25.637,-48.302,-14.088538,"{""type"":""Point"",""coordinates"":[-48.30158013046692,-25.636972773538545]}"
00000000000000001033,-25.637,-48.309,-14.604697,"{""type"":""Point"",""coordinates"":[-48.30916060225777,-25.63697277353854]}"
00000000000000001034,-25.637,-48.307,-15.466602,"{""type"":""Point"",""coordinates"":[-48.306636751061525,-25.636972773538545]}"
00000000000000001035,-25.637,-48.294,-14.642087,"{""type"":""Point"",""coordinates"":[-48.29400411777711,-25.636972773538545]}"
00000000000000001036,-25.637,-48.291,-14.571031,"{""type"":""Point"",""coordinates"":[-48.291475807479806,-25.63697277353855]}"
00000000000000001037,-25.637,-48.299,-14.472663,"{""type"":""Point"",""coordinates"":[-48.299056279270665,-25.636972773538545]}"
00000000000000001038,-25.637,-48.297,-15.474013,"{""type"":""Point"",""coordinates"":[-48.296527968973365,-25.636972773538545]}"
00000000000000001039,-25.637,-48.284,-16.417081,"{""type"":""Point"",""coordinates"":[-48.28389533568894,-25.636972773538545]}"
0000000000000000103a,-25.637,-48.281,-15.170105,"{""type"":""Point"",""coordinates"":[-48.281367025391646,-25.63697277353854]}"
0000000000000000103b,-25.637,-48.289,-14.877706,"{""type"":""Point"",""coordinates"":[-48.288947497182505,-25.636972773538545]}"
0000000000000000103c,-25.637,-48.286,-14.694698,"{""type"":""Point"",""coordinates"":[-48.286423645986254,-25.636972773538545]}"
0000000000000000103d,-25.637,-48.193,-17.237861,"{""type"":""Point"",""coordinates"":[-48.1929341332997,-25.63697277353855]}"
0000000000000000103f,-25.637,-48.19,-16.728657,"{""type"":""Point"",""coordinates"":[-48.19041028210346,-25.636972773538545]}"
00000000000000001041,-25.637,-48.198,-16.548157,"{""type"":""Point"",""coordinates"":[-48.197990753894324,-25.636972773538545]}"
00000000000000001043,-25.637,-48.195,-16.393176,"{""type"":""Point"",""coordinates"":[-48.195462443597016,-25.63697277353855]}"
00000000000000001045,-25.637,-48.183,-17.450236,"{""type"":""Point"",""coordinates"":[-48.18282981031259,-25.636972773538545]}"
